City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Waitati,NZ,2022-08-10 03:54:32,-45.75,170.5667,281.37,57,54,3.45
60,Conway,US,2022-08-10 03:54:32,35.0887,-92.4421,300.14,84,75,3.09
61,Hermanus,ZA,2022-08-10 03:54:32,-34.4187,19.2345,286.37,79,93,5.21
62,Mitsamiouli,KM,2022-08-10 03:54:33,-11.3847,43.2844,297.33,72,24,1.63
63,Tha Chang,TH,2022-08-10 03:54:33,9.2642,99.1922,304.38,74,20,3.09
64,Srednekolymsk,RU,2022-08-10 03:54:33,67.45,153.6833,298.75,37,4,2.46
65,Nemuro,JP,2022-08-10 03:54:33,43.3236,145.575,292.08,98,100,4.21
66,Saskylakh,RU,2022-08-10 03:54:34,71.9167,114.0833,285.77,88,100,4.75
67,Castro,BR,2022-08-10 03:54:34,-24.7911,-50.0119,284.55,96,100,3.81
68,Las Vegas,US,2022-08-10 03:48:35,36.175,-115.1372,304.4,47,75,3.6
69,Arraial Do Cabo,BR,2022-08-10 03:51:51,-22.9661,-42.0278,294.08,92,100,7.71
70,Isla Mujeres,MX,2022-08-10 03:54:35,21.2311,-86.731,298.24,83,54,6.5
71,Kahului,US,2022-08-10 03:54:35,20.8947,-156.47,301.47,85,52,5.81
72,Bambous Virieux,MU,2022-08-10 03:54:35,-20.3428,57.7575,294.94,68,75,8.23
73,Krutinka,RU,2022-08-10 03:54:36,56.0055,71.5113,291.41,84,100,4.39
74,Parabel,RU,2022-08-10 03:54:36,58.6978,81.4825,296.42,61,83,2.81
75,Kathmandu,NP,2022-08-10 03:45:50,27.7167,85.3167,299.27,73,75,0.0
76,Airai,TL,2022-08-10 03:54:36,-8.9266,125.4092,296.79,48,26,2.23
77,Huntington,US,2022-08-10 03:54:37,38.4193,-82.4452,297.66,96,11,0.63
78,Mildura,AU,2022-08-10 03:54:37,-34.2,142.15,287.08,57,100,8.95
79,Lukulu,ZM,2022-08-10 03:54:37,-14.3707,23.242,284.76,34,0,2.58
80,Norman Wells,CA,2022-08-10 03:54:38,65.282,-126.8329,289.17,82,75,7.2
81,Poplar Bluff,US,2022-08-10 03:54:38,36.757,-90.3929,297.78,88,100,4.63
82,Nikolskoye,RU,2022-08-10 03:54:38,59.7035,30.7861,287.52,71,44,0.6
83,Adrar,MR,2022-08-10 03:54:39,20.5022,-10.0711,305.79,10,27,8.95
84,Les Cayes,HT,2022-08-10 03:54:39,18.2,-73.75,299.27,83,7,1.28
85,Ahipara,NZ,2022-08-10 03:54:39,-35.1667,173.1667,287.38,61,76,1.21
86,Alta Floresta,BR,2022-08-10 03:54:40,-9.8756,-56.0861,296.28,77,29,2.68
87,Esperance,AU,2022-08-10 03:54:40,-33.8667,121.9,286.1,70,87,11.69
88,Tomatlan,MX,2022-08-10 03:54:40,19.9333,-105.25,298.05,91,63,1.11
89,Mar Del Plata,AR,2022-08-10 03:54:41,-38.0023,-57.5575,280.86,89,0,4.47
90,Lugoba,TZ,2022-08-10 03:54:41,-6.45,38.3333,293.27,79,99,1.12
91,Pathein,MM,2022-08-10 03:54:41,16.7833,94.7333,297.6,93,100,1.27
92,Qaanaaq,GL,2022-08-10 03:54:42,77.484,-69.3632,273.17,64,0,2.27
93,Bilibino,RU,2022-08-10 03:54:42,68.0546,166.4372,293.17,72,97,4.99
94,Demirci,TR,2022-08-10 03:54:42,39.0461,28.6589,289.66,66,2,3.09
95,Peniche,PT,2022-08-10 03:55:43,39.3558,-9.3811,291.64,92,5,2.07
96,Dikson,RU,2022-08-10 03:55:43,73.5069,80.5464,277.78,83,100,6.56
97,Meulaboh,ID,2022-08-10 03:55:43,4.1363,96.1285,302.1,66,98,0.7
98,Hami,CN,2022-08-10 03:55:44,42.8,93.45,309.24,17,1,2.19
99,Mahebourg,MU,2022-08-10 03:55:44,-20.4081,57.7,294.96,68,75,8.23
100,Brokopondo,SR,2022-08-10 03:55:44,4.75,-55.1667,298.43,81,44,1.85
101,Praia Da Vitoria,PT,2022-08-10 03:55:45,38.7333,-27.0667,294.29,88,40,3.12
102,Touros,BR,2022-08-10 03:55:45,-5.1989,-35.4608,295.43,89,4,5.01
103,Cidreira,BR,2022-08-10 03:55:45,-30.1811,-50.2056,285.9,89,100,5.37
104,Podor,MR,2022-08-10 03:55:46,16.6527,-14.9587,301.12,83,0,1.03
105,Garden Acres,US,2022-08-10 03:55:46,37.9638,-121.2294,295.32,55,0,4.83
106,Tiksi,RU,2022-08-10 03:55:46,71.6872,128.8694,288.63,54,51,6.27
107,Beloha,MG,2022-08-10 03:55:47,-25.1667,45.05,290.23,88,0,4.24
108,Warrington,GB,2022-08-10 03:54:22,53.3925,-2.5802,290.16,85,0,1.54
109,Bengkulu,ID,2022-08-10 03:55:47,-3.8004,102.2655,301.61,68,61,1.52
110,Borisovka,RU,2022-08-10 03:55:47,50.6236,35.9903,291.23,84,58,4.96
111,Newport,GB,2022-08-10 03:55:48,51.5877,-2.9984,291.53,77,6,3.07
112,Taoudenni,ML,2022-08-10 03:55:48,22.6783,-3.9836,306.44,35,0,6.95
113,Ende,ID,2022-08-10 03:55:48,-8.8432,121.6623,302.67,63,33,2.23
114,Barrow,US,2022-08-10 03:55:49,71.2906,-156.7887,277.46,89,100,6.54
115,Sorland,NO,2022-08-10 03:55:49,67.667,12.6934,286.07,95,100,15.24
116,Vigia,BR,2022-08-10 03:55:49,-0.8583,-48.1417,297.59,89,22,3.73
117,Saint-Philippe,RE,2022-08-10 03:55:50,-21.3585,55.7679,291.92,77,92,7.58
118,Jalu,LY,2022-08-10 03:55:50,29.0331,21.5482,298.84,60,0,4.08
119,Moskovskiy,RU,2022-08-10 03:55:50,55.5991,37.355,290.25,86,0,4.0
120,Comodoro Rivadavia,AR,2022-08-10 03:55:51,-45.8667,-67.5,285.07,35,0,2.57
121,Torbay,CA,2022-08-10 03:55:51,47.6666,-52.7314,287.19,95,100,8.75
